trial,opencap_to_footmr_delta_s_fixed,marker_to_opencap_delta_s,global_best_delta_s,global_best_score,selected_score,score_fraction_threshold,eligible_candidates,final_opencap_window_start_s,final_opencap_window_end_s,comparison_seconds,frames,selection_rule,gt_to_opencap_mean_signed_velocity_corr,gt_to_opencap_mean_joint_rmse_deg,ocfm_sync_score_fixed,ocfm_comparison_start_s_fixed,ocfm_comparison_end_s_fixed,marker_mot,opencap_mot,footmr_mot
S18_CurvWalkClock_1,0.5534,-2.2967,-2.3167,0.8157581279591718,0.8003412066173923,0.975,4,2.2967,3.8166999999999676,1.5199999999999676,153,earliest_overlap_start_among_global_candidates_with_score_ge_97p5_percent_of_best,0.9097526438479144,8.66819492594294,0.8114987078123561,1.5500031000000032,4.3166667,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/GT/OpenSim/Sub18/IK/S18_CurvWalkClock_1.mot,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/outputs/s18_166cm_opensim/opencap/OpenSim/IK/S18_CurvWalkClock_1.mot,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/outputs/s18_166cm_opensim/opensim/S18_CurvWalkClock_1/ik/ik.mot
S18_CurvWalkCounter_1,-0.0322,-2.83,-2.84,0.7842081531626589,0.7755736522157806,0.975,4,2.83,4.24999999999997,1.4199999999999697,143,earliest_overlap_start_among_global_candidates_with_score_ge_97p5_percent_of_best,0.8814511990261443,8.249535639274093,0.7621858072425903,1.966670600000004,4.75,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/GT/OpenSim/Sub18/IK/S18_CurvWalkCounter_1.mot,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/outputs/s18_166cm_opensim/opencap/OpenSim/IK/S18_CurvWalkCounter_1.mot,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/outputs/s18_166cm_opensim/opensim/S18_CurvWalkCounter_1/ik/ik.mot
S18_Walk_1,0.5824,-2.2233,-3.2833,0.8568735013877026,0.8391111347162467,0.975,5,2.2233,4.273299999999956,2.0499999999999563,206,earliest_overlap_start_among_global_candidates_with_score_ge_97p5_percent_of_best,0.8391111347162467,10.14737681224853,0.5920049951152787,1.7833369000000037,5.5833333,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/GT/OpenSim/Sub18/IK/S18_Walk_1.mot,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/outputs/s18_166cm_opensim/opencap/OpenSim/IK/S18_Walk_1.mot,/mnt/c/users/gnsal/onedrive/desktop/projects/sideprojects/footmr-baseline-5b/outputs/s18_166cm_opensim/opensim/S18_Walk_1/ik/ik.mot
