trial,pair,reference,estimate,kind,component,unit,n,mean_diff,mae,rmse,corr
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,position,progression,m,143,-0.0352634366620202,0.0352634366620202,0.04517989218935427,0.9994810487965414
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,position,vertical,m,143,0.00994419701770837,0.010514445642393108,0.013491188598809834,0.570976887265218
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,vertical,m,143,-0.008077888384850308,0.008436630486864183,0.010152686104847056,0.7292742932204611
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,position,vertical,m,143,0.01802208540255868,0.01831463988786814,0.02108198644847489,0.2455508661104175
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,position,lateral,m,143,-0.011143070179151547,0.011143070179151553,0.012386467244588945,0.9961134977556154
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,lateral,m,143,-0.0032830835693807648,0.003763409453883877,0.005096288450810901,0.9973297566107043
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,position,lateral,m,143,-0.007859986609770784,0.007859986609770787,0.009286861995566477,0.9962377568288392
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,progression,m/s,143,-0.0020313485636588914,0.10990270260503865,0.1356237068005806,0.4163141029931512
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,progression,m/s,143,0.05499466690297861,0.08456940832679428,0.10865111807343987,0.41249582554535047
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,progression,m/s,143,-0.057026015466637506,0.12432474977935533,0.15982950558319212,0.32621069527844093
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,vertical,m/s,143,0.010738566919578005,0.11212862490951013,0.14612312145499126,0.3987080574607279
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,vertical,m/s,143,-0.0103965283064797,0.10573672017304296,0.13738155232566499,0.4581576902739754
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,vertical,m/s,143,0.021135095226057703,0.14731161527163134,0.19730665905645206,0.1376021136273573
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,lateral,m/s,143,0.0005051570492258193,0.06676090132948051,0.07953865239442719,0.9590416896579748
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,lateral,m/s,143,0.0004574502073922792,0.042766098075736746,0.050530395649352355,0.9836293186172079
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,lateral,m/s,143,4.770684183354006e-05,0.07041241719901949,0.08760482398787683,0.9477636037855199
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,progression,m/s²,143,0.07744531974322734,1.992884244280998,2.546368525456219,0.1770371244021304
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,progression,m/s²,143,0.011504191764060307,2.377181012438056,2.894346179730186,0.11942854476278468
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,progression,m/s²,143,0.06594112797916711,2.826399350211464,3.60831508571053,0.12076972145012868
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,vertical,m/s²,143,0.0724231030442826,2.2604174935580024,3.4488581857890703,0.1117299297031697
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,vertical,m/s²,143,0.09813968432266203,3.238903351478469,4.243958428382434,0.16272218895186571
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,vertical,m/s²,143,-0.025716581278379468,3.9228279947942593,5.516996869254851,-0.039500941590203606
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,lateral,m/s²,143,0.14133065360437685,1.4607402762281916,1.8602744340684387,0.3029355613725325
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,lateral,m/s²,143,0.006245456056233153,1.1333360975794258,1.385473716544143,0.0905295002185687
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,lateral,m/s²,143,0.13508519754814366,1.9598999080900898,2.3009454157542586,0.06176382022906957
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,position,progression,m,206,-0.204523428074094,0.204523428074094,0.2239834367412347,0.9994261564608397
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,progression,m,206,-0.08240340524481651,0.08240340524481651,0.08491670161348712,0.9996909685880627
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,position,progression,m,206,-0.12212002282927752,0.12249434860665266,0.14602814514616028,0.999798894639253
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,position,vertical,m,206,-0.011573410427637517,0.012408474542110033,0.014842151838611515,0.6705028106844173
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,vertical,m,206,-0.023934694256830584,0.023934694256830584,0.025750827774552766,0.6345259033838327
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,position,vertical,m,206,0.012361283829193067,0.013456084556607985,0.01598091715833069,0.5659701919631526
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,position,lateral,m,206,-0.005783938691123507,0.008753982165491786,0.011601932666416345,0.6004411767343953
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,lateral,m,206,0.009211622154208328,0.009467330132434112,0.011917972869154516,0.7597490260013158
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,position,lateral,m,206,-0.014995560845331836,0.015664864644199826,0.019478610492584706,0.3406359058829554
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,progression,m/s,206,-0.1658034407430887,0.19236982543863643,0.23733660217241595,0.47037875987420524
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,progression,m/s,206,-0.03451084036769756,0.10000834357949984,0.12977091200238786,0.3488308318247897
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,progression,m/s,206,-0.13129260037539114,0.1667855859924563,0.20228688623540908,0.6017518720543159
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,vertical,m/s,206,-0.0102547922971823,0.09793825399280796,0.12201598269313249,0.6348742264567039
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,vertical,m/s,206,-0.017847491175231624,0.10113815199606031,0.129465160062732,0.6143594228821951
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,vertical,m/s,206,0.007592698878049324,0.13312599786161622,0.16658989487267292,0.377870565157023
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,lateral,m/s,206,-3.447274596694146e-05,0.08362680844537151,0.1017725809256034,0.3753979108110439
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,lateral,m/s,206,-8.548609328194397e-05,0.03325633192672644,0.04141306946522833,0.813733745243744
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,lateral,m/s,206,5.101334731500682e-05,0.08924929288207005,0.10745526974231255,0.2745354944329419
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,progression,m/s²,206,0.2127686079124032,2.5758379975308316,3.372011721284948,0.30486059552966976
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,progression,m/s²,206,0.2208149111426572,1.8382828344672273,2.4089487212030427,0.23615218500083973
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,progression,m/s²,206,-0.008046303230253994,2.604909262888241,3.305491498032433,0.43334829802341235
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,vertical,m/s²,206,0.06547207369799496,1.6587292892230905,2.3543630210079725,0.35196334938560087
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,vertical,m/s²,206,0.11103893269522365,3.0077084880615863,3.9126698818532857,0.22523720177327713
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,vertical,m/s²,206,-0.04556685899722863,3.7386024442022343,4.712916069656975,-0.049012893006087445
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,lateral,m/s²,206,0.047949198880324,1.427978751936187,1.817471133033225,0.1524379728206158
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,lateral,m/s²,206,0.009372127078568075,0.8055868580968543,0.9783394009277061,0.26191433235843536
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,lateral,m/s²,206,0.03857707180175588,1.664995489160036,2.079472669623423,-0.004206498938331989
