trial,pair,reference,estimate,joint,joint_label,unit,n,mean_diff,mae,rmse,corr
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,hip_flexion_l,Hip flexion L,deg,143,2.328073665272291,5.1133833593642715,6.438728017098284,0.9495859030639765
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,knee_angle_l,Knee flexion L,deg,143,-3.846650176396717,5.982063438355138,7.69203673954922,0.962641390143464
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,knee_angle_l,Knee flexion L,deg,143,-1.9131496668926835,3.533232312173119,4.270592706264613,0.9885442105571094
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,knee_angle_l,Knee flexion L,deg,143,-1.9335005095040334,4.430887053126576,5.6419284426757805,0.9733875339119512
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,ankle_angle_l,Ankle flexion L,deg,143,-5.759692170770124,7.960454590382269,10.947184363444837,0.7485397929796501
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,ankle_angle_l,Ankle flexion L,deg,143,-6.411843465984178,7.693318940390222,9.32576452865959,0.7619112223432938
S18_CurvWalkCounter_1,FootMR vs OpenCap,OpenCap,FootMR,ankle_angle_l,Ankle flexion L,deg,143,0.652151295214054,5.258381729393414,6.147161374410121,0.9050294435123458
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,hip_flexion_r,Hip flexion R,deg,206,13.386207611848919,13.386207611848919,14.433887771933332,0.9830029902877144
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,hip_flexion_r,Hip flexion R,deg,206,8.13667182163129,8.13667182163129,8.6903989445949,0.9834674706365535
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,hip_flexion_r,Hip flexion R,deg,206,5.249535790217628,6.28811160453971,7.81848828399291,0.9672719821337777
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,knee_angle_r,Knee flexion R,deg,206,-5.28542665280223,6.548555984269147,7.803028401471038,0.9666363159642191
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,knee_angle_r,Knee flexion R,deg,206,-5.019060487526023,5.329025033225925,6.35994204202485,0.9843895537649638
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,knee_angle_r,Knee flexion R,deg,206,-0.26636616527620666,4.074440305791368,4.96896313447207,0.975247647128099
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,ankle_angle_r,Ankle flexion R,deg,206,-1.3328247797281836,4.616775175042468,6.995501246333121,0.6870588072832446
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,ankle_angle_r,Ankle flexion R,deg,206,-12.837050584562697,12.837050584562697,13.464763996346143,0.86376408348431
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,ankle_angle_r,Ankle flexion R,deg,206,11.504225804834514,12.037941254808977,13.348963315931025,0.6769157772555998
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,hip_flexion_l,Hip flexion L,deg,206,15.636471617944904,15.636471617944904,16.293733969555802,0.959857668560426
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,hip_flexion_l,Hip flexion L,deg,206,12.871328046907074,12.871328046907074,13.440715645274727,0.9768329709123917
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,hip_flexion_l,Hip flexion L,deg,206,2.7651435710378296,4.2008537528752665,5.318433519649111,0.9629849764118379
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,knee_angle_l,Knee flexion L,deg,206,-4.022113370442245,6.0388780057505524,7.700249660062629,0.9657562928760355
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,knee_angle_l,Knee flexion L,deg,206,-0.8150906918154753,3.9636091328383674,4.95480746905882,0.9794497718563798
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,knee_angle_l,Knee flexion L,deg,206,-3.2070226786267693,3.920935489016224,6.049415762438199,0.9746304548189966
S18_Walk_1,FootMR vs Marker-based,Marker-based,FootMR,ankle_angle_l,Ankle flexion L,deg,206,-11.740370025328927,11.81907345809025,13.830674016410407,0.6987819416042451
S18_Walk_1,OpenCap vs Marker-based,Marker-based,OpenCap,ankle_angle_l,Ankle flexion L,deg,206,-15.405673244923033,15.479414333485481,16.198827753047645,0.7901952609388693
S18_Walk_1,FootMR vs OpenCap,OpenCap,FootMR,ankle_angle_l,Ankle flexion L,deg,206,3.6653032195941053,6.765541215604355,8.002307762702285,0.7149853435231482
